WARN  2013-03-31 20:41:28,312 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:42:46,598 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:46,599 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,600 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:46,600 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,602 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:46,603 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,615 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.
ERROR 2013-03-31 20:42:46,615 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,617 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.
ERROR 2013-03-31 20:42:46,617 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,618 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.
ERROR 2013-03-31 20:42:46,619 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,620 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:46,620 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,633 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:46,633 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,929 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.
ERROR 2013-03-31 20:42:46,929 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,930 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.
ERROR 2013-03-31 20:42:46,930 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:46,930 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.
ERROR 2013-03-31 20:42:46,930 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,215 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.
ERROR 2013-03-31 20:42:47,215 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,399 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
WARN  2013-03-31 20:42:47,501 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:47,502 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,506 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:47,506 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,510 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:47,510 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,569 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:47,569 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,569 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:47,569 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,570 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:47,570 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,572 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.
ERROR 2013-03-31 20:42:47,572 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,573 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.
ERROR 2013-03-31 20:42:47,573 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,573 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.
ERROR 2013-03-31 20:42:47,573 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,574 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:47,574 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,574 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:47,574 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,575 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.
ERROR 2013-03-31 20:42:47,575 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,576 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.
ERROR 2013-03-31 20:42:47,576 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,576 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.
ERROR 2013-03-31 20:42:47,576 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,577 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.
ERROR 2013-03-31 20:42:47,577 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:47,609 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
WARN  2013-03-31 20:42:47,978 [pool-1-thread-1] - Obsolete content type encountered: 'application/x-javascript'.
WARN  2013-03-31 20:42:48,704 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:48,704 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://pagead2.googlesyndication.com/pagead/js/r20130326/r20130206/show_ads_impl.js] line=[12] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:48,705 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:48,705 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://pagead2.googlesyndication.com/pagead/js/r20130326/r20130206/show_ads_impl.js] line=[12] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:48,706 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:48,706 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://pagead2.googlesyndication.com/pagead/js/r20130326/r20130206/show_ads_impl.js] line=[13] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,968 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:49,969 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,972 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:49,973 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,974 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:49,974 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,985 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:49,985 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,987 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:49,987 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,988 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:49,988 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:49,998 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.
ERROR 2013-03-31 20:42:49,998 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,031 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.
ERROR 2013-03-31 20:42:50,031 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,031 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.
ERROR 2013-03-31 20:42:50,031 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,032 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:50,032 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,032 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:50,032 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,032 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.
ERROR 2013-03-31 20:42:50,032 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,033 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.
ERROR 2013-03-31 20:42:50,033 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,033 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.
ERROR 2013-03-31 20:42:50,033 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,034 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.
ERROR 2013-03-31 20:42:50,034 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:50,067 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
ERROR 2013-03-31 20:42:51,737 [pool-1-thread-1] - runtimeError: message=[The data necessary to complete this operation is not yet available.] sourceName=[http://hm.baidu.com/h.js?5faade0d566fcec8b00f8d195be751aa] line=[1] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:51,750 [pool-1-thread-1] - Unimplemented behavior: #default#userData
WARN  2013-03-31 20:42:51,760 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:51,760 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://hm.baidu.com/h.js?5faade0d566fcec8b00f8d195be751aa] line=[10] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,070 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
ERROR 2013-03-31 20:42:52,080 [pool-1-thread-1] - runtimeError: message=[The data necessary to complete this operation is not yet available.] sourceName=[http://share.baidu.com/static/js/shell_v2.js?t=20] line=[1] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,522 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:52,522 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,702 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:52,703 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,708 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:52,708 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,761 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:52,761 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,763 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:52,763 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:52,764 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:52,764 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,046 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.
ERROR 2013-03-31 20:42:53,047 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,048 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.
ERROR 2013-03-31 20:42:53,049 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,050 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.
ERROR 2013-03-31 20:42:53,050 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,051 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:53,052 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,053 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:53,053 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,054 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.
ERROR 2013-03-31 20:42:53,058 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.5'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,195 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.
ERROR 2013-03-31 20:42:53,195 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.4'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,196 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.
ERROR 2013-03-31 20:42:53,196 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.3'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,198 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.
ERROR 2013-03-31 20:42:53,199 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.2'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:53,580 [pool-1-thread-1] - Obsolete content type encountered: 'text/javascript'.
WARN  2013-03-31 20:42:54,112 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:54,112 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,113 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:54,113 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,113 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:54,113 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,117 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.
ERROR 2013-03-31 20:42:54,117 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.7'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,117 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.
ERROR 2013-03-31 20:42:54,117 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.6'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,118 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.
ERROR 2013-03-31 20:42:54,118 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[2] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,474 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.
ERROR 2013-03-31 20:42:54,474 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.10'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,476 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.
ERROR 2013-03-31 20:42:54,476 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.9'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
WARN  2013-03-31 20:42:54,477 [pool-1-thread-1] - Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.
ERROR 2013-03-31 20:42:54,477 [pool-1-thread-1] - runtimeError: message=[Automation server can't create object for 'ShockwaveFlash.ShockwaveFlash.8'.] sourceName=[http://cbjs.baidu.com/js/o.js] line=[3] lineSource=[null] lineOffset=[0]
